seller,mean_pricing_gap,pricing_gap_variance,extreme_pricing_count,transaction_count,log_pricing_gap_variance,log_extreme_pricing_count,cluster
auto lender liquidation center,-204.29447852760737,1147859.5300310536,1,163,13.95341035896121,0.6931471805599453,0
auto liquidations inc,-1814.0350877192982,3917835.2130325814,5,57,15.181050072894749,1.791759469228055,1
auto mall 59,280.12820512820514,1215630.9041835358,0,39,14.010774585306834,0.0,0
auto now financial,-550.0,759659.0909090909,0,12,13.540626363413109,0.0,0
auto one acceptance llc,-908.0357142857143,558058.0357142856,0,28,13.232220034538274,0.0,0
auto outlet,-292.10526315789474,1128059.2105263157,0,19,13.936010087741746,0.0,0
auto plaza motor sports  llc,333.3333333333333,758750.0000000001,0,18,13.539428939312144,0.0,0
auto plaza motor sports llc,31.666666666666668,6076630.681818183,2,45,15.619961100726858,1.0986122886681098,2
auto remarketing resources,689.0243902439024,1938939.0243902442,0,41,14.477652002539728,0.0,2
auto sails inc,515.3433476394849,2114774.828095437,4,466,14.564459373400787,1.6094379124341003,2
auto sales and service,-473.4375,1124789.0625,0,16,13.933106965095526,0.0,0
auto select inc,1003.2051282051282,1017341.4304993249,0,39,13.8327043248468,0.0,2
auto trakk llc,-1032.824427480916,3303212.3458602466,5,131,15.010406293828082,1.791759469228055,1
autobahn motors,-567.5,2269414.4736842103,0,20,14.635032855718975,0.0,0
autobuy,735.6410256410256,2665140.695215439,4,195,14.795767783105038,1.6094379124341003,2
autocelli inc,2149.397590361446,1290045.3643843662,1,83,14.070188717075208,0.6931471805599453,2
autodeals.me  llc,-68.75,2271718.75,0,12,14.636047701743177,0.0,2
autofinders inc,449.3150684931507,1359270.357686454,0,73,14.12245934773111,0.0,2
autohaus,842.7083333333334,744971.6938405795,0,24,13.521102844126995,0.0,0
autohaus bmw,510.4166666666667,1615165.7196969697,0,12,14.294948741321344,0.0,2
autolenders liquidation center,-287.9595588235294,972933.3673621652,0,272,13.788071905000082,0.0,0
automart,456.25,1131150.5681818181,0,12,13.938746758658564,0.0,0
automatch usa,-631.5384615384615,1054458.5336538462,0,65,13.868538903251256,0.0,0
automax,-202.77777777777777,2417197.7124183006,0,18,14.698119870794526,0.0,2
automobile acceptance corp,-157.62448132780082,942396.2682559674,2,482,13.756182193165547,1.0986122886681098,0
automobiles paille inc,-773.7944964871194,2191507.451006598,15,1708,14.60010065509941,2.772588722239781,1
automotive 360 inc,-767.5,2599729.1666666665,0,10,14.7709182155547,0.0,0
automotive credit corp,-979.7101449275362,1199453.5912190962,0,69,13.99737750412105,0.0,0
automotive leasing specialist,-938.0952380952381,1048601.1904761903,0,21,13.862968588071459,0.0,0
automotive remarketing aka carolina title loans,-776.3888888888889,707461.1928104574,0,18,13.469439469347948,0.0,0
automotive remarketing aka ohio auto loans,-345.45454545454544,136602.27272727274,0,11,11.824836184303809,0.0,0
automotive remarketing inc,-613.6092150170648,1119610.4128380155,5,586,13.928492230246022,1.791759469228055,1
automotive remarketing inc/resale auto,-881.4516129032259,2055331.9892473111,1,31,14.53594843134881,0.6931471805599453,2
automotive solutions inc,401.4583333333333,3413028.317577031,2,120,15.043110817824711,1.0986122886681098,2
automotive solutions llc,-270.5607476635514,2237792.607123964,2,107,14.621000941583407,1.0986122886681098,2
autonation acura sanford,-317.42424242424244,933104.8768939395,0,33,13.746273953448918,0.0,0
autonation buick gmc laurel,-820.1219512195122,2048381.8597560967,1,41,14.532561190910107,0.6931471805599453,2
autonation cadillac port richey,-356.8181818181818,507261.36363636365,0,11,13.1367836312429,0.0,0
autonation cadillac west palm beach,-691.4473684210526,1723894.4701280228,0,38,14.36009709619125,0.0,0
autonation chevrolet airport,-154.54545454545453,786807.65993266,0,55,13.575740371959933,0.0,0
autonation chevrolet coral gables,-595.8333333333334,1609419.0140845068,2,72,14.291384432359674,1.0986122886681098,2
autonation chevrolet delray,-534.2105263157895,1328798.0085348506,0,38,14.099786091145221,0.0,0
autonation chevrolet doral,-692.2727272727273,1215575.7575757576,1,55,14.010729219716742,0.6931471805599453,0
autonation chevrolet fort lauderdale,-483.8709677419355,822856.1827956989,0,31,13.6205379321532,0.0,0
autonation chevrolet greenacres,-351.3736263736264,711588.3699633699,0,91,13.475256296443256,0.0,0
autonation chevrolet gulf freeway,-161.36363636363637,2696170.4545454546,0,11,14.80734334489185,0.0,2
autonation chevrolet laurel,-528.8793103448276,729008.8097398669,0,58,13.499442467333546,0.0,0
autonation chevrolet north richland hills,-1323.75,4395689.144736842,2,20,15.29613510629276,1.0986122886681098,1
autonation chevrolet northpoint,57.8125,3352309.8958333335,1,16,15.025160485636775,0.6931471805599453,2
autonation chevrolet pembroke pines,-668.4090909090909,1427702.7210175148,1,110,14.17157792207602,0.6931471805599453,0
autonation chevrolet security blvd,-719.4444444444445,1296324.3348982793,0,72,14.075044154405699,0.0,0
autonation chevrolet south clearwater,30.88235294117647,548864.705882353,0,51,13.215609074689185,0.0,0
